Tahun,Pendidikan,Jumlah,Periode
1986,Tidak Sekolah,52166.0,Tahunan
1986,Tidak Tamat SD,161626.0,Tahunan
1986,SD,371990.0,Tahunan
1986,SMP,316344.0,Tahunan
1986,SMA,544090.0,Tahunan
1986,SMK,297706.0,Tahunan
1986,Diploma / D3,41960.0,Tahunan
1986,Universitas / S1+,31790.0,Tahunan
1987,Tidak Sekolah,47944.0,Tahunan
1987,Tidak Tamat SD,155456.0,Tahunan
1987,SD,340684.0,Tahunan
1987,SMP,269332.0,Tahunan
1987,SMA,611958.0,Tahunan
1987,SMK,293708.0,Tahunan
1987,Diploma / D3,48328.0,Tahunan
1987,Universitas / S1+,52097.0,Tahunan
1988,Tidak Sekolah,41695.0,Tahunan
1988,Tidak Tamat SD,128880.0,Tahunan
1988,SD,343563.0,Tahunan
1988,SMP,333506.0,Tahunan
1988,SMA,687929.0,Tahunan
1988,SMK,385943.0,Tahunan
1988,Diploma / D3,55265.0,Tahunan
1988,Universitas / S1+,63937.0,Tahunan
1989,Tidak Sekolah,21424.0,Tahunan
1989,Tidak Tamat SD,108619.0,Tahunan
1989,SD,362478.0,Tahunan
1989,SMP,331783.0,Tahunan
1989,SMA,717803.0,Tahunan
1989,SMK,377631.0,Tahunan
1989,Diploma / D3,57413.0,Tahunan
1989,Universitas / S1+,61007.0,Tahunan
1990,Tidak Sekolah,36387.0,Tahunan
1990,Tidak Tamat SD,116095.0,Tahunan
1990,SD,345319.0,Tahunan
1990,SMP,313481.0,Tahunan
1990,SMA,642881.0,Tahunan
1990,SMK,337739.0,Tahunan
1990,Diploma / D3,59972.0,Tahunan
1990,Universitas / S1+,59926.0,Tahunan
1991,Tidak Sekolah,30354.0,Tahunan
1991,Tidak Tamat SD,90554.0,Tahunan
1991,SD,378716.0,Tahunan
1991,SMP,359134.0,Tahunan
1991,SMA,662848.0,Tahunan
1991,SMK,330827.0,Tahunan
1991,Diploma / D3,60778.0,Tahunan
1991,Universitas / S1+,78904.0,Tahunan
1992,Tidak Sekolah,24506.0,Tahunan
1992,Tidak Tamat SD,118318.0,Tahunan
1992,SD,377586.0,Tahunan
1992,SMP,348089.0,Tahunan
1992,SMA,744383.0,Tahunan
1992,SMK,362543.0,Tahunan
1992,Diploma / D3,62076.0,Tahunan
1992,Universitas / S1+,98520.0,Tahunan
1993,Tidak Sekolah,23104.0,Tahunan
