Provinsi,prov_raw,TPT_Feb2026
Aceh,ACEH,5.88
Sumatera Utara,SUMATERA UTARA,5.01
Sumatera Barat,SUMATERA BARAT,5.51
Riau,RIAU,4.09
Jambi,JAMBI,3.99
Sumatera Selatan,SUMATERA SELATAN,3.59
Bengkulu,BENGKULU,3.23
Lampung,LAMPUNG,3.95
Kep. Bangka Belitung,KEP. BANGKA BELITUNG,4.15
Kep. Riau,KEP. RIAU,6.87
DKI Jakarta,DKI JAKARTA,6.03
Jawa Barat,JAWA BARAT,6.64
Jawa Tengah,JAWA TENGAH,4.24
DI Yogyakarta,DI YOGYAKARTA,3.05
Jawa Timur,JAWA TIMUR,3.55
Banten,BANTEN,6.59
Bali,BALI,1.59
Nusa Tenggara Barat,NUSA TENGGARA BARAT,2.99
Nusa Tenggara Timur,NUSA TENGGARA TIMUR,3.16
Kalimantan Barat,KALIMANTAN BARAT,4.57
Kalimantan Tengah,KALIMANTAN TENGAH,3.44
Kalimantan Selatan,KALIMANTAN SELATAN,3.8
Kalimantan Timur,KALIMANTAN TIMUR,5.27
Kalimantan Utara,KALIMANTAN UTARA,3.9
Sulawesi Utara,SULAWESI UTARA,5.75
Sulawesi Tengah,SULAWESI TENGAH,2.95
Sulawesi Selatan,SULAWESI SELATAN,4.95
Sulawesi Tenggara,SULAWESI TENGGARA,3.25
Gorontalo,GORONTALO,3.17
Sulawesi Barat,SULAWESI BARAT,2.93
Maluku,MALUKU,5.8
Maluku Utara,MALUKU UTARA,4.46
Papua Barat,PAPUA BARAT,4.1
Papua Barat Daya,PAPUA BARAT DAYA,6.41
Papua,PAPUA,7.02
Papua Selatan,PAPUA SELATAN,5.25
Papua Tengah,PAPUA TENGAH,3.83
Papua Pegunungan,PAPUA PEGUNUNGAN,1.7
