Tahun,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Indonesia,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kep. Bangka Belitung,Kep. Riau,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Papua Barat Daya,Papua Pegunungan,Papua Selatan,Papua Tengah,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2002,0.33,0.341,0.36,0.295,0.322,0.591,0.375,0.363,0.304,0.281,0.314,0.245,0.38,0.378,0.362,0.5,,0.345,,,0.31,0.285,0.322,0.32,0.33,0.53,,,,,,0.394,,0.375,0.35,0.325,0.438,0.385,0.332,0.464
2003,0.425,0.41,0.475,0.33,0.36,0.632,0.41,0.415,0.39,0.32,0.34,0.274,0.4,0.425,0.425,0.54,,0.38,,,0.35,0.37,0.37,0.375,0.35,0.6,,,,,,0.438,,0.415,0.41,0.39,0.495,0.435,0.404,0.505
2004,0.55,0.425,0.515,0.363,0.365,0.672,0.43,0.458,0.425,0.366,0.365,0.31,0.42,0.482,0.482,0.573,,0.448,,,0.378,0.45,0.4,0.412,0.4,0.65,,,,,,0.477,,0.455,0.45,0.47,0.545,0.48,0.46,0.537
2005,0.62,0.448,0.585,0.43,0.4,0.712,0.435,0.508,0.485,0.408,0.39,0.34,0.445,0.536,0.524,0.6,,0.56,0.557,,0.405,0.5,0.44,0.475,0.45,0.7,,,,,,0.552,,0.51,0.49,0.499,0.6,0.54,0.504,0.6
2006,0.82,0.51,0.662,0.516,0.46,0.819,0.527,0.603,0.563,0.448,0.45,0.39,0.512,0.629,0.634,0.702,,0.64,0.76,,0.505,0.575,0.528,0.55,0.55,0.822,0.822,,,,,0.637,0.612,0.612,0.575,0.573,0.714,0.65,0.604,0.738
2007,0.85,0.622,0.746,0.645,0.5,0.901,0.56,0.672,0.658,0.517,0.5,0.448,0.56,0.745,0.666,0.766,,0.72,0.805,,0.555,0.635,0.66,0.645,0.6,0.987,0.987,,,,,0.71,0.691,0.673,0.615,0.64,0.75,0.725,0.662,0.761
2008,1.0,0.683,0.837,0.69,0.586,0.973,0.6,0.746,0.724,0.568,0.547,0.5,0.645,0.825,0.766,0.89,,0.813,0.833,,0.617,0.7,0.7,0.73,0.65,1.106,1.106,,,,,0.8,0.76,0.741,0.67,0.7,0.845,0.8,0.743,0.822
2009,1.2,0.76,0.918,0.735,0.7,1.07,0.675,0.842,0.8,0.628,0.575,0.57,0.705,0.93,0.873,0.955,,0.85,0.892,,0.691,0.775,0.77,0.832,0.725,1.216,1.18,,,,,0.902,0.909,0.905,0.72,0.77,0.93,0.88,0.825,0.905
2010,1.3,0.829,0.955,0.78,0.746,1.118,0.71,0.909,0.9,0.672,0.66,0.63,0.741,1.024,0.987,1.002,,0.91,0.925,,0.768,0.84,0.847,0.891,0.8,1.316,1.21,,,,,1.016,0.944,1.0,0.778,0.86,1.0,0.94,0.928,0.965
2011,1.35,0.89,1.0,0.815,0.808,1.29,0.762,0.989,1.028,0.732,0.675,0.705,0.802,1.126,1.135,1.084,,1.024,0.975,,0.855,0.9,0.889,0.95,0.85,1.403,1.41,,,,,1.12,1.006,1.1,0.828,0.93,1.05,1.055,1.048,1.036
