Provinsi,Tahun,upah_per_jam,upah_bulanan
Aceh,2015,11226,1975776
Aceh,2016,13627,2398352
Aceh,2017,14809,2606384
Aceh,2018,13814,2431264
Aceh,2019,15065,2651440
Aceh,2020,18099,3185424
Aceh,2021,17037,2998512
Aceh,2022,16772,2951872
Sumatera Utara,2015,10618,1868768
Sumatera Utara,2016,11646,2049696
Sumatera Utara,2017,13396,2357696
Sumatera Utara,2018,13257,2333232
Sumatera Utara,2019,14061,2474736
Sumatera Utara,2020,15949,2807024
Sumatera Utara,2021,15486,2725536
Sumatera Utara,2022,15131,2663056
Sumatera Barat,2015,11241,1978416
Sumatera Barat,2016,13206,2324256
Sumatera Barat,2017,14378,2530528
Sumatera Barat,2018,14431,2539856
Sumatera Barat,2019,15210,2676960
Sumatera Barat,2020,17571,3092496
Sumatera Barat,2021,16630,2926880
Sumatera Barat,2022,15887,2796112
Riau,2015,13303,2341328
Riau,2016,15506,2729056
Riau,2017,15182,2672032
Riau,2018,15613,2747888
Riau,2019,16270,2863520
Riau,2020,18411,3240336
Riau,2021,19144,3369344
Riau,2022,18626,3278176
Jambi,2015,12954,2279904
Jambi,2016,13169,2317744
Jambi,2017,14326,2521376
Jambi,2018,14007,2465232
Jambi,2019,14304,2517504
Jambi,2020,15840,2787840
Jambi,2021,16043,2823568
Jambi,2022,16042,2823392
Sumatera Selatan,2015,11622,2045472
Sumatera Selatan,2016,12523,2204048
Sumatera Selatan,2017,12690,2233440
Sumatera Selatan,2018,13214,2325664
Sumatera Selatan,2019,13580,2390080
Sumatera Selatan,2020,15072,2652672
Sumatera Selatan,2021,15873,2793648
Sumatera Selatan,2022,15978,2812128
Bengkulu,2015,12491,2198416
Bengkulu,2016,13471,2370896
Bengkulu,2017,14011,2465936
Bengkulu,2018,14353,2526128
Bengkulu,2019,14511,2553936
Bengkulu,2020,17407,3063632
Bengkulu,2021,18271,3215696
Bengkulu,2022,16501,2904176
Lampung,2015,10104,1778304
Lampung,2016,10385,1827760
Lampung,2017,11234,1977184
Lampung,2018,11779,2073104
Lampung,2019,12575,2213200
Lampung,2020,14912,2624512
Lampung,2021,15224,2679424
