skill,demand_count,candidate_count,demand_pct,candidate_pct,gap_score
development,4120.0,640,1.6119377291240369,0.3721081671928509,1.2398295619311859
management,3316.0,713,1.2973751237318707,0.41455175501328545,0.8828233687185852
implementation,2536.0,405,0.9922024468588734,0.23547469955172592,0.7567277473071474
financial,2041.0,268,0.7985351711510096,0.1558202950120063,0.6427148761390032
design,2410.0,554,0.9429053221332353,0.3221061322263115,0.6207991899069238
business,2085.0,435,0.8157500401028197,0.25291726988889085,0.5628327702139289
monitor,1786.0,270,0.6987671806348374,0.15698313303448397,0.5417840476003535
technical,2426.0,800,0.949165274479348,0.46513520899106364,0.4840300654882843
quality,1960.0,530,0.7668441623988137,0.3081520759565797,0.458692086442234
process,1839.0,521,0.719503272781336,0.30291930485543017,0.4165839679259058
software,1827.0,517,0.7148083085217514,0.3005936288104748,0.41421467971127657
documentation,1556.0,346,0.6087803656594665,0.201170977888635,0.40760938777083144
analysis,1655.0,447,0.6475138208010391,0.25989429802375674,0.3876195227772824
supervision,1326.0,275,0.5187935506840954,0.1598902280906781,0.3589033225934173
systems,1516.0,410,0.5931304847941845,0.23838179460792008,0.3547486901862644
data,1643.0,497,0.6428188565414545,0.2889652485856983,0.35385360795575627
reporting,1326.0,335,0.5187935506840954,0.19477536876500787,0.3240181819190875
strategy,1017.0,144,0.3978982209997926,0.08372433761839145,0.3141738833814012
operations,1390.0,408,0.5438333600685465,0.23721895658544243,0.3066144034831041
processes,1153.0,251,0.45110781594175114,0.1459361718209462,0.30517164412080494
members,1018.0,172,0.3982894680214247,0.10000406993307867,0.298285398088346
web,1043.0,210,0.4080706435622259,0.12209799236015419,0.2859726512020717
monitoring,1469.0,508,0.5747418747774783,0.29536085770932535,0.27938101706815294
compliance,1128.0,287,0.44132664040094993,0.16686725622554407,0.27445938417540583
control,1469.0,537,0.5747418747774783,0.31222200903525144,0.26251986574222685
recommendations,806.0,101,0.31534509943543054,0.05872332013512178,0.25662177930030877
stakeholders,711.0,48,0.27817663238038604,0.027908112539463816,0.25026851984092224
cooperation,660.0,24,0.25822303427715154,0.013954056269731908,0.24426897800741965
product,1059.0,295,0.41433059590833865,0.17151860831545468,0.24281198759288397
research,1149.0,364,0.4495428278552229,0.21163652009093392,0.237906307764289
results,875.0,180,0.3423411439280418,0.1046554220229893,0.23768572190505252
organizations,788.0,124,0.3083026530460537,0.07209595739361485,0.23620669565243885
programs,988.0,262,0.38655205737246323,0.15233178094457334,0.2342202764278899
planning,1471.0,591,0.5755243688207423,0.34361863564214823,0.2319057331785941
marketing,1136.0,366,0.44445661657400637,0.2127993581134116,0.23165725846059476
communicate,828.0,159,0.3239525339113356,0.09244562278697388,0.23150691112436173
operational,846.0,178,0.33099498030071245,0.10349258400051166,0.2275023963002008
policy,758.0,122,0.29656524239709225,0.0709331193711372,0.22563212302595506
regulations,729.0,103,0.2852190787697629,0.05988615815759944,0.22533292061216342
legal,736.0,108,0.2879578079211872,0.06279325321379359,0.2251645547073936
manager.,634.0,55,0.24805061171471834,0.03197804561813562,0.2160725660965827
database,852.0,204,0.33334246243050475,0.11860947829272121,0.21473298413778352
contracts,738.0,130,0.2887403019644513,0.07558447146104783,0.21315583050340345
evaluation,773.0,164,0.30243394772157295,0.09535271784316804,0.2070812298784049
accounting,891.0,244,0.3486010962741546,0.1418662387422744,0.2067348575318802
events,814.0,198,0.3184750756084869,0.11512096422528824,0.2033541113831987
budget,847.0,240,0.3313862273223445,0.13954056269731907,0.19184566462502545
evaluate,683.0,133,0.2672217157746887,0.07732872849476431,0.18989298727992437
correspondence,636.0,105,0.2488331057579824,0.06104899618007709,0.1877841095779053
strategies,772.0,210,0.30204270069994094,0.12209799236015419,0.17994470833978676
practices,629.0,117,0.24609437660655809,0.06802602431494305,0.17806835229161505
software development,534.0,55,0.20892590955151352,0.03197804561813562,0.1769478639333779
coordination,857.0,293,0.335298697538665,0.17035577029297705,0.16494292724568793
relationships,669.0,169,0.26174425747184,0.09825981289936218,0.1634844445724778
resources,735.0,217,0.2875665608995551,0.126167925438826,0.16139863546072913
guidance,575.0,110,0.2249670374384275,0.06395609123627125,0.16101094620215625
developers,501.0,62,0.19601475783765596,0.036047978696807426,0.15996677914084853
transactions,573.0,116,0.2241845433951634,0.06744460530370422,0.15673993809145917
proposals,562.0,110,0.21988082615721086,0.06395609123627125,0.1559247349209396
framework,476.0,53,0.18623358229685477,0.030815207595657965,0.1554183747011968
policies and procedures,465.0,54,0.18192986505890224,0.031396626606896794,0.15053323845200545
improvement,565.0,122,0.22105456722210703,0.0709331193711372,0.15012144785096984
country,557.0,118,0.21792459104905065,0.06860744332618188,0.14931714772286878
objectives,802.0,284,0.3137801113489024,0.16512299919182757,0.1486571121570748
assessment,556.0,122,0.21753334402741858,0.0709331193711372,0.1466002246562814
code,624.0,170,0.24413814149839785,0.09884123191060103,0.14529690958779684
advice,455.0,58,0.17801739484258175,0.03372230265185211,0.14429509219072964
economic,442.0,50,0.17293118356136514,0.029070950561941478,0.14386023299942366
capacity,614.0,169,0.24022567128207736,0.09825981289936218,0.1419658583827152
solutions,812.0,308,0.31769258156522284,0.1790770554615595,0.13861552610366334
developing,964.0,412,0.37716212885329414,0.23954463263039777,0.13761749622289637
tax,512.0,108,0.2003184750756085,0.06279325321379359,0.1375252218618149
test,769.0,281,0.3008689596350448,0.16337874215811107,0.1374902174769337
agreements,414.0,43,0.1619762669556678,0.025001017483269668,0.13697524947239814
team members,548.0,137,0.2144033678543622,0.07965440453971964,0.13474896331464256
assess,434.0,62,0.16980120738830876,0.036047978696807426,0.13375322869150133
media,546.0,138,0.21362087381109812,0.08023582355095847,0.13338505026013964
accurate,660.0,219,0.25822303427715154,0.12733076346130365,0.1308922708158479
creative,373.0,26,0.14593513906875383,0.015116894292209566,0.13081824477654427
administration,709.0,253,0.2773941383371219,0.14709900984342386,0.13029512849369804
meet,855.0,352,0.3345162034954009,0.20465949195606797,0.12985671153933293
company.,519.0,130,0.20305720422703283,0.07558447146104783,0.127472732765985
functions,574.0,168,0.22457579041679546,0.09767839388812335,0.1268973965286721
action,472.0,110,0.18466859421032655,0.06395609123627125,0.12071250297405531
trainings,487.0,121,0.19053729953480728,0.07035170035989836,0.12018559917490891
problems,784.0,322,0.3067376649595255,0.1872169216189031,0.11952074334062238
opportunities,613.0,210,0.23983442426044532,0.12209799236015419,0.11773643190029114
credit,543.0,163,0.212447132746202,0.09477129883192921,0.11767583391427279
collaborate,397.0,65,0.155325067587923,0.03779223573052391,0.11753283185739909
presentations,518.0,147,0.20266595720540076,0.08546859465210793,0.11719736255329283
build,702.0,272,0.2746554091856976,0.15814597105696163,0.11650943812873596
guidelines,437.0,94,0.1709749484532049,0.05465338705644997,0.11632156139675494
high quality,356.0,41,0.13928393970100902,0.02383817946079201,0.11544576024021702
financial reports,348.0,37,0.13615396352795264,0.02151250341583669,0.11464146011211596
collaboration,402.0,74,0.1572813026960832,0.04302500683167338,0.11425629586440983
promotion,396.0,74,0.15493382056629093,0.04302500683167338,0.11190881373461756
payments,457.0,117,0.17879988888584586,0.06802602431494305,0.11077386457090281
