Provinsi,Tahun,UMP,UMP_Juta
Aceh,2002,330000.0,0.33
Aceh,2003,425000.0,0.425
Aceh,2004,550000.0,0.55
Aceh,2005,620000.0,0.62
Aceh,2006,820000.0,0.82
Aceh,2007,850000.0,0.85
Aceh,2008,1000000.0,1.0
Aceh,2009,1200000.0,1.2
Aceh,2010,1300000.0,1.3
Aceh,2011,1350000.0,1.35
Aceh,2012,1400000.0,1.4
Aceh,2013,1550000.0,1.55
Aceh,2014,1750000.0,1.75
Aceh,2015,1900000.0,1.9
Aceh,2016,2118500.0,2.118
Aceh,2017,2500000.0,2.5
Aceh,2018,2700000.0,2.7
Aceh,2019,2916810.0,2.917
Aceh,2020,3165031.0,3.165
Aceh,2021,3165031.0,3.165
Aceh,2022,3166460.0,3.166
Aceh,2026,3932552.0,3.933
Bali,2002,341000.0,0.341
Bali,2003,410000.0,0.41
Bali,2004,425000.0,0.425
Bali,2005,447500.0,0.448
Bali,2006,510000.0,0.51
Bali,2007,622000.0,0.622
Bali,2008,682650.0,0.683
Bali,2009,760000.0,0.76
Bali,2010,829316.0,0.829
Bali,2011,890000.0,0.89
Bali,2012,967500.0,0.968
Bali,2013,1181000.0,1.181
Bali,2014,1542600.0,1.543
Bali,2015,1621172.0,1.621
Bali,2016,1807600.0,1.808
Bali,2017,1956727.0,1.957
Bali,2018,2127157.0,2.127
Bali,2019,2297969.0,2.298
Bali,2020,2494000.0,2.494
Bali,2021,2494000.0,2.494
Bali,2022,2516971.0,2.517
Bali,2026,3207459.0,3.207
Banten,2002,360000.0,0.36
Banten,2003,475000.0,0.475
Banten,2004,515000.0,0.515
Banten,2005,585000.0,0.585
Banten,2006,661613.0,0.662
Banten,2007,746500.0,0.746
Banten,2008,837000.0,0.837
Banten,2009,917500.0,0.918
Banten,2010,955300.0,0.955
Banten,2011,1000000.0,1.0
Banten,2012,1042000.0,1.042
Banten,2013,1170000.0,1.17
Banten,2014,1325000.0,1.325
Banten,2015,1600000.0,1.6
Banten,2016,1784000.0,1.784
Banten,2017,1931180.0,1.931
Banten,2018,2099385.0,2.099
Banten,2019,2267990.0,2.268
Banten,2020,2460997.0,2.461
Banten,2021,3230023.0,3.23
Banten,2022,2501203.0,2.501
Banten,2026,3100881.0,3.101
Bengkulu,2002,295000.0,0.295
Bengkulu,2003,330000.0,0.33
Bengkulu,2004,363000.0,0.363
Bengkulu,2005,430000.0,0.43
Bengkulu,2006,516000.0,0.516
Bengkulu,2007,644838.0,0.645
Bengkulu,2008,690000.0,0.69
Bengkulu,2009,735000.0,0.735
